Zona,Year,Quarter,WPD_q_mean,WPD_q_sd,FNRR_q,coh_q
4,2021,2021Q3,26.1518704913893,20.3066537255315,0.437092095967516,0.562907904032484
4,2021,2021Q4,9.35504033144472,10.7553451063341,0.534815463363989,0.465184536636011
4,2022,2022Q1,3.99010060315512,2.93270645338295,0.423629667767965,0.576370332232035
4,2022,2022Q2,7.56800425321872,6.80364222563232,0.473407290921356,0.526592709078644
4,2022,2022Q3,9.63098637455425,0.738624447457303,0.0712297173091035,0.928770282690896
4,2022,2022Q4,6.20926607269737,1.55140806482437,0.199906353150886,0.800093646849114
4,2023,2023Q1,4.18413375256524,0.0817792749863196,0.0191704037232229,0.980829596276777
4,2023,2023Q2,5.34776786356798,0.963193455996011,0.152622303833508,0.847377696166492
4,2023,2023Q3,9.55550264308577,0.856610254585939,0.0822705499839028,0.917729450016097
4,2023,2023Q4,6.22240704380706,1.55380487896207,0.199815140635822,0.800184859364178
4,2024,2024Q1,4.18554957448813,0.0823255666982038,0.0192895911840851,0.980710408815915
4,2024,2024Q2,5.37505766193401,0.982351625821163,0.15452074600785,0.84547925399215
4,2024,2024Q3,9.56797638576511,0.840780610110782,0.0807762742894192,0.919223725710581
4,2024,2024Q4,6.17989029281038,1.54193231999548,0.199685022217208,0.800314977782792
4,2025,2025Q1,4.18618372531829,0.0821391660406234,0.0192438969898251,0.980756103010175
4,2025,2025Q2,5.36576401037023,0.974688146378002,0.153725337291699,0.846274662708301
4,2025,2025Q3,9.5614510743185,0.846792315812654,0.0813578510871068,0.918642148912893
4,2025,2025Q4,6.19569781160889,1.55282268407413,0.200402474890434,0.799597525109566
4,2026,2026Q1,4.18516491694248,0.0821596396817164,0.0192531968430148,0.980746803156985
4,2026,2026Q2,5.35596375152174,0.962905350770073,0.152385709401835,0.847614290598165
4,2026,2026Q3,9.55808872962989,0.847588301636808,0.081454411768691,0.918545588231309
4,2026,2026Q4,6.21104895858399,1.55873188597842,0.200614652737507,0.799385347262493
4,2027,2027Q1,4.18378146015614,0.0808688171134954,0.0189625905656372,0.981037409434363
4,2027,2027Q2,5.34680567378196,0.955629371779103,0.151628595117719,0.848371404882281
4,2027,2027Q3,9.55565706568419,0.851494880252531,0.0818182423660089,0.918181757633991
4,2027,2027Q4,6.22380885304165,1.55960286928174,0.200375224248858,0.799624775751142
4,2028,2028Q1,4.18555121268756,0.0824335966271835,0.0193144072226487,0.980685592777351
4,2028,2028Q2,5.37448959860048,0.978117098699164,0.153970983142234,0.846029016857766
4,2028,2028Q3,9.56956912388637,0.836659086047756,0.0803998402849799,0.91960015971502
4,2028,2028Q4,6.18175036965693,1.53928629102308,0.199362645026933,0.800637354973067
